title,published_date,duration_seconds,views,likes,comments,upload_month,published_year,published_month
"SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | PHẾ THÁI TỬ | OFFICIAL EPISODE 5","2021-06-03 00:00:00",426,413199,27958,1358,2021-06,2021,6
"SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | BÃO TỐ SẮP ĐẾN | OFFICIAL EPISODE 4","2021-05-27 00:00:00",305,375448,27505,1268,2021-05,2021,5
"SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | TRẦN ANH, TA ĐẾN TRỄ | OFFICIAL EPISODE 3","2021-05-20 00:00:00",433,560004,39504,1802,2021-05,2021,5
"SƠN TÙNG M-TP | MUỘN RỒI MÀ SAO CÒN | ONLINE STAGE","2021-05-17 00:00:00",354,4716146,183496,10674,2021-05,2021,5
"SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | CHỜ THỜI CƠ | OFFICIAL EPISODE 2","2021-05-14 00:00:00",304,644991,50475,2549,2021-05,2021,5
"SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | QUÀ MỪNG THỌ | OFFICIAL EPISODE 1","2021-05-12 00:00:00",409,1586571,127658,6189,2021-05,2021,5
"SƠN TÙNG M-TP | MUỘN RỒI MÀ SAO CÒN | MAKING MV","2021-05-10 00:00:00",341,3209159,184796,9782,2021-05,2021,5
"SƠN TÙNG M-TP | MUỘN RỒI MÀ SAO CÒN | OFFICIAL MUSIC VIDEO","2021-04-29 00:00:00",289,228229809,2644692,2031001,2021-04,2021,4
"SƠN TÙNG M-TP | MUỘN RỒI MÀ SAO CÒN | CALL TO ACTION","2021-04-15 00:00:00",80,2261099,127350,5814,2021-04,2021,4
"SƠN TÙNG M-TP | MUỘN RỒI MÀ SAO CÒN | TEASING AUDIO","2021-04-13 00:00:00",46,4479068,243376,48624,2021-04,2021,4
"Free Fire x Sơn Tùng M-TP | 'Skyler' Theme Song |  Official","2021-01-28 00:00:00",142,25527146,771372,127601,2021-01,2021,1
"FREE FIRE x SƠN TÙNG M-TP | 'SKYLER' THEME SONG |  TEASER","2021-01-26 00:00:00",15,1933319,104630,9628,2021-01,2021,1
"DỪNG LẠI HAY BỨT PHÁ | SƠN TÙNG M-TP x TIGER BEER","2021-01-19 00:00:00",45,1108227,81321,3874,2021-01,2021,1
"SƠN TÙNG M-TP | CHÚNG TA CỦA HIỆN TẠI | KARAOKE VERSION","2021-01-15 00:00:00",313,4011280,143701,6476,2021-01,2021,1
"SƠN TÙNG M-TP | LẠC TRÔI COMIC | OFFICIAL TRAILER","2021-01-03 00:00:00",140,1382179,109904,3946,2021-01,2021,1
"SƠN TÙNG M-TP | TIGER REMIX COUNTDOWN STAGE | 2021","2020-12-31 00:00:00",769,14898708,364367,23317,2020-12,2020,12
"SƠN TÙNG M-TP | CHÚNG TA CỦA HIỆN TẠI | MAKING MV","2020-12-30 00:00:00",1221,2904850,162390,8419,2020-12,2020,12
